x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
151,-0.0351,0.0342,0.9933,0.1488,0.1225,0.21,stationary_z_up
152,-0.0361,0.0342,0.994,0.1138,0.035,0.2625,stationary_z_up
153,-0.0348,0.0336,0.9953,0.0875,0.1138,0.2188,stationary_z_up
154,-0.0357,0.0339,0.9922,0.2362,0.07,0.2275,stationary_z_up
155,-0.0361,0.034,0.9948,0.0875,-0.0262,0.1925,stationary_z_up
156,-0.0353,0.0339,0.9944,0.1925,0.0262,0.245,stationary_z_up
157,-0.0359,0.0348,0.9948,0.2625,0.1663,0.1925,stationary_z_up
158,-0.0351,0.0335,0.9936,0.21,0.1138,0.2625,stationary_z_up
159,-0.0354,0.0334,0.9957,0.0962,0.0875,0.21,stationary_z_up
160,-0.0364,0.0339,0.9943,0.28,0.14,0.245,stationary_z_up
161,-0.0363,0.0334,0.9928,0.1925,0.1225,0.1838,stationary_z_up
162,-0.0354,0.0343,0.9941,0.2537,0.0613,0.1838,stationary_z_up
163,-0.0362,0.0334,0.9931,0.2362,0.0875,0.1575,stationary_z_up
164,-0.035,0.0348,0.9935,0.1925,0.0875,0.21,stationary_z_up
165,-0.0352,0.0344,0.9945,0.0787,0.0262,0.2625,stationary_z_up
166,-0.0359,0.0349,0.9955,0.1925,0,0.28,stationary_z_up
167,-0.0349,0.0351,0.9948,0.1838,0.1488,0.2713,stationary_z_up
168,-0.0342,0.0347,0.9957,0.2188,0.14,0.2625,stationary_z_up
169,-0.0342,0.0339,0.9953,0.14,0.0525,0.2537,stationary_z_up
170,-0.0354,0.0337,0.994,0.1225,0.1138,0.2188,stationary_z_up
171,-0.0347,0.0335,0.9933,0.1138,0.105,0.2713,stationary_z_up
172,-0.0341,0.034,0.9942,0.1925,-0.0175,0.2362,stationary_z_up
173,-0.0354,0.0332,0.9939,0.1663,0.0175,0.21,stationary_z_up
174,-0.0367,0.0342,0.9946,0.2275,0.105,0.2625,stationary_z_up
175,-0.0361,0.0348,0.9928,0.1488,0.0437,0.2537,stationary_z_up
176,-0.0354,0.0332,0.9944,0.0787,0.0437,0.2625,stationary_z_up
177,-0.0354,0.0347,0.9933,0.0962,0.0613,0.2013,stationary_z_up
178,-0.0358,0.0342,0.9931,0.14,0.0787,0.2275,stationary_z_up
179,-0.0361,0.0346,0.9924,0.1838,0.1488,0.315,stationary_z_up
180,-0.0354,0.0349,0.9933,0.21,0.0962,0.2975,stationary_z_up
181,-0.035,0.0351,0.9945,0.1925,0.0875,0.2275,stationary_z_up
182,-0.0359,0.0345,0.9958,0.1488,0.0175,0.1663,stationary_z_up
183,-0.0346,0.0332,0.9945,0.3063,0.0262,0.2013,stationary_z_up
184,-0.0357,0.0344,0.9934,0.1663,0.0175,0.2713,stationary_z_up
185,-0.0357,0.0334,0.9919,0.1312,0.105,0.2887,stationary_z_up
