index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,segment_id,time_sec,segment_time_sec
152,3356462,-0.0102,0.0037,1.0355,0.0787,-3.8937,-0.2713,1000.0339,smooth_accel_decel,0,9.12,9.12
153,3356522,-0.0541,0.1598,1.0399,-0.0088,-0.1663,-0.07,1000.0229,smooth_accel_decel,0,9.18,9.18
154,3356582,-0.1056,0.0407,0.8766,-0.1663,-0.8838,-1.33,1000.0203,smooth_accel_decel,0,9.24,9.24
155,3356642,-0.0891,0.0104,1.1575,-0.1488,5.8538,0.0525,1000.0259,smooth_accel_decel,0,9.3,9.3
156,3356702,-0.0932,0.09,1.1766,1.4875,-0.2188,-0.5775,1000.0305,smooth_accel_decel,0,9.36,9.36
157,3356762,0.0301,0.0239,1.3718,3.71,1.2425,-0.0437,1000.0278,smooth_accel_decel,0,9.42,9.42
158,3356822,0.0459,0.1212,1.3728,0.1225,-1.0412,0.2625,1000.0247,smooth_accel_decel,0,9.48,9.48
159,3356882,-0.174,-0.0563,1.026,-5.25,5.0662,0.7525,1000.0193,smooth_accel_decel,0,9.54,9.54
160,3356942,-0.0942,0.0789,1.0411,1.855,4.2087,0.8838,1000.0098,smooth_accel_decel,0,9.6,9.6
161,3357002,-0.1147,0.1008,1.0605,-0.21,0.3938,0.035,999.9951,smooth_accel_decel,0,9.66,9.66
162,3357062,-0.0566,0.0542,0.9999,-3.1937,0.8838,-0.6475,999.9961,smooth_accel_decel,0,9.72,9.72
163,3357122,-0.161,-0.0027,1.0287,-0.0613,3.57,-0.7437,1000.0054,smooth_accel_decel,0,9.78,9.78
164,3357182,-0.1315,0.1013,0.7513,1.7325,0.1575,-0.5337,1000.0078,smooth_accel_decel,0,9.84,9.84
165,3357242,-0.1584,0.0337,0.9929,-1.785,1.435,-0.1575,1000.0059,smooth_accel_decel,0,9.9,9.9
166,3357302,-0.1079,0.0598,1.2609,1.1988,1.9775,-0.4112,999.9875,smooth_accel_decel,0,9.96,9.96
167,3357362,-0.0283,0.083,1.0204,-0.035,-0.6562,-0.49,999.98,smooth_accel_decel,0,10.02,10.02
168,3357422,-0.0776,0.1317,1.2454,0.0262,-1.12,-0.0175,999.9873,smooth_accel_decel,0,10.08,10.08
