index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
117,1976102,0.0209,-0.1476,1.0311,0.8313,-1.3913,23.065,1000.533,weave,7.02
118,1976162,-0.0054,-0.1845,0.9328,0.2362,0.3938,23.2838,1000.5232,weave,7.08
119,1976222,-0.0132,-0.1606,0.9704,0.56,-0.1838,23.7738,1000.5068,weave,7.14
120,1976282,0.0449,-0.1446,1.0203,0.665,-0.4812,24.3775,1000.5115,weave,7.2
121,1976342,0.0164,-0.1225,1.0175,0.0437,0.2625,24.4737,1000.5193,weave,7.26
122,1976402,0.0217,-0.1537,0.9992,1.12,-0.4812,24.85,1000.5137,weave,7.32
123,1976462,-0.0236,-0.1748,0.9862,0.28,-0.0875,24.9638,1000.5022,weave,7.38
124,1976522,-0.0102,-0.1901,0.9752,0.35,-0.455,25.025,1000.4983,weave,7.44
125,1976582,0.034,-0.1374,1.0273,0.3063,-0.5425,25.4888,1000.5022,weave,7.5
126,1976642,-0.0232,-0.1798,0.9068,0.1663,-0.84,25.2087,1000.4998,weave,7.56
127,1976702,0.0051,-0.203,0.9829,0.9975,-1.4963,25.4363,1000.4968,weave,7.62
128,1976762,0.032,-0.1499,1.0177,-0.3938,0.6388,25.5325,1000.4912,weave,7.68
129,1976822,0.0081,-0.1444,0.9957,0.4988,0.5163,25.3838,1000.5056,weave,7.74
130,1976882,-0.0147,-0.2389,1.0256,0.3237,1.0063,25.2787,1000.5071,weave,7.8
131,1976942,0.049,-0.161,1.0194,1.5312,-2.1437,25.2262,1000.4998,weave,7.86
132,1977002,0.0237,-0.1593,0.985,0.3413,0.3762,24.605,1000.4941,weave,7.92
133,1977062,-0.0169,-0.1191,0.9353,1.7062,0.8575,23.765,1000.4866,weave,7.98
134,1977122,0.03,-0.1498,0.9706,2.2575,-0.2887,23.73,1000.4795,weave,8.04
135,1977182,-0.0095,-0.1645,0.9616,1.2075,0.6825,23.5462,1000.5,weave,8.1
136,1977242,0.0026,-0.154,0.9711,1.7325,-0.245,23.3975,1000.5066,weave,8.16
137,1977302,-0.0099,-0.0737,0.9304,1.82,-0.3938,22.6712,1000.5007,weave,8.22
138,1977362,0.0157,-0.0845,1.0358,1.47,-0.07,21.9625,1000.5247,weave,8.28
139,1977422,0.0112,-0.0847,0.9407,1.1375,-0.9538,20.6325,1000.5195,weave,8.34
140,1977482,0.0439,-0.0818,1.0091,1.0325,0.1925,20.1775,1000.5186,weave,8.4
141,1977542,0.0035,-0.07,0.9514,1.1025,-1.12,19.1975,1000.5225,weave,8.46
142,1977602,-0.0154,-0.0856,0.8948,-0.3325,-1.75,18.6987,1000.5298,weave,8.52
143,1977662,0.0269,-0.0635,1.0555,0.0875,-0.5425,17.8675,1000.5225,weave,8.58
144,1977722,0.0183,-0.1027,1.056,0.5425,0.9275,17.1325,1000.5256,weave,8.64
145,1977782,0.0115,-0.0669,0.9594,0.2362,1.435,16.3975,1000.5376,weave,8.7
146,1977842,0.0447,-0.1296,1.1029,-0.525,0.3675,16.4937,1000.5444,weave,8.76
147,1977902,0.0739,-0.0803,1.117,0.8575,0.8225,16.1787,1000.55,weave,8.82
148,1977962,0.033,-0.0625,0.9604,-0.8575,0.4812,15.2425,1000.5488,weave,8.88
149,1978022,0.0107,-0.0584,1.0121,-0.1225,0.56,14.5513,1000.561,weave,8.94
150,1978082,0.042,-0.0468,0.9935,0.0088,-0.1838,14.3675,1000.554,weave,9.0
151,1978142,0.0744,-0.0368,1.0223,0.4288,-0.105,13.3875,1000.5469,weave,9.06
152,1978202,0.0361,-0.0281,1.0058,0.56,1.12,12.7575,1000.5503,weave,9.12
153,1978262,0.0161,-0.045,0.9776,-0.035,0.4462,11.935,1000.5417,weave,9.18
154,1978322,0.0326,-0.0407,1.0077,0.7613,1.0675,11.1912,1000.5415,weave,9.24
155,1978382,-0.0171,-0.0144,0.9702,0.1838,0.7,10.0887,1000.5347,weave,9.3
156,1978442,0.0163,0.0247,1.0285,0.21,0.42,9.1175,1000.5474,weave,9.36
157,1978502,-0.0303,-0.0124,0.8972,0.7613,0.595,7.8575,1000.5574,weave,9.42
158,1978562,0.0271,0.0003,1.0075,1.5838,0.84,6.5275,1000.5469,weave,9.48
159,1978622,-0.0027,0.0259,0.9023,0.28,-0.9187,5.53,1000.5391,weave,9.54
160,1978682,-0.009,0.0415,1.0268,0.6037,0.7262,4.4538,1000.5229,weave,9.6
161,1978742,0.0152,0.0374,1.0492,1.4175,0.3762,3.7625,1000.54,weave,9.66
162,1978802,-0.0654,0.0371,0.9143,0.7262,0.49,1.7587,1000.5591,weave,9.72
163,1978862,-0.0166,0.0859,0.9887,0.8138,-0.6475,0.5863,1000.5483,weave,9.78
164,1978922,-0.0269,0.0442,0.9364,1.155,-0.6388,-0.3675,1000.5583,weave,9.84
165,1978982,0.0213,0.0495,1.0473,1.3737,-0.1138,-1.1375,1000.5674,weave,9.9
166,1979042,-0.0307,0.0762,1.0004,2.0038,0.315,-2.0825,1000.5417,weave,9.96
167,1979102,-0.0081,0.0412,0.9645,0.0437,-0.7437,-3.325,1000.5457,weave,10.02
168,1979162,-0.0237,0.0806,1.011,2.5375,1.8637,-4.0512,1000.5549,weave,10.08
169,1979222,0.0369,0.1074,0.9334,1.785,-0.0525,-5.5563,1000.5596,weave,10.14
170,1979282,0.0447,0.1117,0.9596,1.8112,-1.7237,-6.23,1000.5586,weave,10.2
171,1979342,0.029,0.1731,0.9821,1.4612,-0.49,-7.5075,1000.5618,weave,10.26
172,1979402,0.0603,0.1515,0.9331,0.6212,-2.17,-8.8988,1000.5637,weave,10.32
173,1979462,0.061,0.1735,0.9511,1.155,-0.2188,-10.6663,1000.5574,weave,10.38
174,1979522,0.089,0.1979,1.04,0.84,0.2013,-12.0312,1000.5723,weave,10.44
175,1979582,0.071,0.1484,1.0421,0.84,0.4025,-13.8162,1000.5615,weave,10.5
176,1979642,0.0632,0.2577,0.9782,0.7088,0.1575,-14.7963,1000.5605,weave,10.56
177,1979702,0.0512,0.1742,0.9743,1.4963,1.33,-15.7063,1000.5464,weave,10.62
178,1979762,0.0686,0.1779,0.9758,1.05,-0.0962,-15.4788,1000.553,weave,10.68
179,1979822,0.0544,0.1315,0.9509,-0.6125,0.6913,-16.3363,1000.5706,weave,10.74
180,1979882,0.0151,0.1471,0.9071,-0.6212,-0.2713,-17.4037,1000.572,weave,10.8
181,1979942,0.0383,0.1197,1.0077,-0.0962,0.8575,-18.06,1000.5613,weave,10.86
182,1980002,0.0461,0.1848,1.0114,0.595,0.42,-18.6987,1000.5728,weave,10.92
183,1980062,0.021,0.1876,0.9634,0.5512,0.6388,-19.1625,1000.5718,weave,10.98
184,1980122,0.0271,0.19,1.038,-0.1663,-0.5337,-19.9762,1000.5486,weave,11.04
185,1980182,0.0308,0.1915,1.0416,0.4288,0.14,-19.915,1000.5569,weave,11.1
186,1980242,0.0393,0.1801,0.9816,-0.735,0.5163,-20.5625,1000.5513,weave,11.16
187,1980302,0.0606,0.183,0.942,-0.8138,-1.6275,-20.93,1000.5598,weave,11.22
188,1980362,0.0534,0.2283,1.018,0.6737,-0.035,-20.79,1000.5701,weave,11.28
189,1980422,0.0712,0.1371,0.9926,-0.5337,-1.0762,-20.86,1000.5647,weave,11.34
190,1980482,0.0124,0.143,0.9546,0.28,-1.2775,-20.6763,1000.553,weave,11.4
191,1980542,0.0386,0.1659,0.9798,0.3938,-1.155,-21.2362,1000.5605,weave,11.46
192,1980602,0.0271,0.1285,0.9572,0.385,0.315,-21.0613,1000.5605,weave,11.52
193,1980662,-0.0017,0.1676,0.9062,0.945,1.05,-21.0875,1000.5466,weave,11.58
194,1980722,0.0037,0.1837,0.9514,-0.5512,-1.3125,-20.8687,1000.5491,weave,11.64
195,1980782,0.0612,0.1934,0.9853,1.61,-0.07,-21.35,1000.54,weave,11.7
196,1980842,0.0347,0.1771,0.9209,-0.6212,-2.0825,-20.9825,1000.5317,weave,11.76
197,1980902,0.0381,0.1956,0.9821,-1.0237,-2.6512,-20.3875,1000.5381,weave,11.82
198,1980962,0.0137,0.1634,0.9609,-0.84,0.0613,-20.37,1000.5483,weave,11.88
199,1981022,0.0104,0.0993,1.0077,-0.9187,-0.805,-20.1513,1000.5415,weave,11.94
200,1981082,0.0141,0.1823,0.9841,-0.0525,-1.015,-19.4075,1000.5354,weave,12.0
201,1981142,0.0168,0.1383,0.9697,0.4725,-1.8813,-19.5037,1000.5562,weave,12.06
202,1981202,0.0325,0.1563,1.0336,0.6037,-0.4288,-19.0575,1000.5513,weave,12.12
203,1981262,0.0171,0.1932,1.0021,-0.4988,-1.5225,-18.5675,1000.5588,weave,12.18
204,1981322,-0.019,0.1662,0.9567,0.2887,-1.2513,-18.4888,1000.55,weave,12.24
205,1981382,0.0293,0.1478,0.9938,-0.5775,0.105,-18.2175,1000.5505,weave,12.3
206,1981442,0.0398,0.2145,1.0687,0.0,0.8313,-17.7975,1000.5549,weave,12.36
207,1981502,0.0376,0.1071,0.9882,0.1575,-1.2687,-17.9463,1000.5559,weave,12.42
208,1981562,0.0195,0.1176,0.9782,-1.9162,0.3587,-17.01,1000.5669,weave,12.48
209,1981622,0.0117,0.149,0.937,-1.4,0.7875,-16.2313,1000.5632,weave,12.54
210,1981682,0.0425,0.0955,1.0411,-1.54,0.4988,-15.2163,1000.5654,weave,12.6
211,1981742,-0.0241,0.1003,0.9731,-0.9538,0.2275,-15.05,1000.5513,weave,12.66
212,1981802,0.0182,0.0946,0.9892,-0.6037,0.875,-14.2275,1000.5569,weave,12.72
213,1981862,0.0153,0.102,1.0028,-0.525,0.385,-12.9675,1000.5571,weave,12.78
214,1981922,-0.0249,0.0979,0.9543,1.225,0.2537,-12.0225,1000.5469,weave,12.84
215,1981982,-0.0054,0.0073,1.0275,0.8838,-0.49,-10.7712,1000.5601,weave,12.9
216,1982042,0.0157,0.1281,1.0416,-0.2625,0.1138,-10.0013,1000.5537,weave,12.96
217,1982102,0.0049,0.042,0.9187,0.2362,-1.19,-9.555,1000.5488,weave,13.02
218,1982162,-0.0151,0.0402,0.9831,-0.8575,-0.35,-8.47,1000.5537,weave,13.08
219,1982222,0.0509,0.081,1.0435,-1.8375,0.1225,-7.1925,1000.5544,weave,13.14
220,1982282,-0.0048,0.0064,1.0028,-0.2625,-0.7175,-6.195,1000.5591,weave,13.2
221,1982342,0.0034,0.0118,0.9994,-0.63,-0.4725,-5.4163,1000.5676,weave,13.26
222,1982402,-0.0254,0.0117,0.9591,-0.805,0.1663,-4.4363,1000.554,weave,13.32
223,1982462,0.0498,0.0248,1.0266,-0.4025,-0.8225,-3.6575,1000.5537,weave,13.38
224,1982522,-0.0068,0.0361,1.0094,1.68,0.9275,-2.6775,1000.5603,weave,13.44
225,1982582,-0.0284,0.0012,0.9558,0.7,-0.7875,-1.995,1000.5583,weave,13.5
226,1982642,0.0132,-0.0168,1.0331,0.0613,1.6975,-0.28,1000.5576,weave,13.56
227,1982702,-0.0156,-0.0192,0.9506,-0.2362,0.2713,0.8487,1000.5564,weave,13.62
228,1982762,-0.0027,-0.0824,0.9196,-1.5662,-0.4462,2.975,1000.553,weave,13.68
229,1982822,-0.0183,-0.1042,1.016,-0.4112,1.7237,4.5325,1000.5444,weave,13.74
230,1982882,0.0059,-0.093,1.0128,-2.205,0.0262,6.055,1000.5452,weave,13.8
231,1982942,0.0114,-0.0827,0.9953,-0.735,0.63,7.4462,1000.5457,weave,13.86
232,1983002,0.0454,-0.1252,1.0373,0.3063,-0.7,9.205,1000.5459,weave,13.92
233,1983062,-0.0279,-0.1504,0.9575,0.14,0.315,10.325,1000.5503,weave,13.98
234,1983122,0.0351,-0.1411,1.0196,0.5775,-0.665,11.5938,1000.5405,weave,14.04
235,1983182,0.0298,-0.1505,0.9026,0.6388,-0.6212,12.2063,1000.5339,weave,14.1
236,1983242,0.0337,-0.1023,0.965,0.91,-0.385,13.5975,1000.532,weave,14.16
237,1983302,0.0127,-0.1722,0.9179,-1.05,-1.2775,14.6912,1000.5234,weave,14.22
238,1983362,0.0361,-0.1116,0.9723,-1.12,0.2887,16.1612,1000.5254,weave,14.28
239,1983422,0.0283,-0.1826,1.0072,-0.5775,-0.4025,17.08,1000.5161,weave,14.34
240,1983482,0.07,-0.1527,1.0142,0.7088,-0.385,18.2787,1000.5176,weave,14.4
